Year;Cultivar;Trial Code;Treatment;Dosage;BreviSmart;Corymb No.;F1;F2;F3;F4;F5;F6;F7;Fruitdrop (%)
2018;Golden Delicious;PD2018;UTC;NA;NA;1;16.3;15.5;15.4;13.1;0;0;0;75%
2018;Golden Delicious;PD2018;UTC;NA;NA;2;17.3;14.7;12.2;0;0;0;0;33%
2018;Golden Delicious;PD2018;UTC;NA;NA;3;15.6;15;13.5;12.7;0;0;0;25%
2018;Golden Delicious;PD2018;UTC;NA;NA;4;16.4;15.8;12.8;9;0;0;0;50%
2018;Golden Delicious;PD2018;UTC;NA;NA;5;15.7;12.5;11.9;0;0;0;0;67%
2018;Golden Delicious;PD2018;UTC;NA;NA;6;15.8;14.1;11;0;0;0;0;33%
2018;Golden Delicious;PD2018;UTC;NA;NA;7;17.3;17.2;16.2;9.5;0;0;0;50%
2018;Golden Delicious;PD2018;UTC;NA;NA;8;15.1;9.7;7.5;0;0;0;0;67%
2018;Golden Delicious;PD2018;UTC;NA;NA;9;13.6;13.1;8.7;0;0;0;0;33%
2018;Golden Delicious;PD2018;UTC;NA;NA;10;13.6;13.2;7.5;0;0;0;0;33%
2018;Golden Delicious;PD2018;UTC;NA;NA;11;16.8;14.8;14.6;13.3;0;0;0;75%
2018;Golden Delicious;PD2018;UTC;NA;NA;12;9;0;0;0;0;0;0;100%
2018;Golden Delicious;PD2018;UTC;NA;NA;13;15.7;15.6;14.7;13.7;13.5;0;0;0%
2018;Golden Delicious;PD2018;UTC;NA;NA;14;16.8;15.7;13.6;0;0;0;0;33%
2018;Golden Delicious;PD2018;UTC;NA;NA;15;17.5;16;14.7;13.5;11.5;0;0;40%
2018;Golden Delicious;PD2018;UTC;NA;NA;16;15.5;15.1;9.1;8.6;7.5;0;0;60%
2018;Golden Delicious;PD2018;UTC;NA;NA;17;13.8;12.8;12;7.6;7.5;0;0;60%
2018;Golden Delicious;PD2018;UTC;NA;NA;18;18;17.7;16.8;16.7;0;0;0;0%
2018;Golden Delicious;PD2018;UTC;NA;NA;19;10;9.4;8.6;7.9;7.3;0;0;100%
