Treatment,target,botton_score,max,min,range,mean,std,median,non_zero_per_row
UTC,0.75,0.043,16.3,13.1,3.2,15.075,1.3769,15.45,4
UTC,0.33,0.113,17.3,12.2,5.1,14.7333,2.5502,14.7,3
UTC,0.25,0.0406,15.6,12.7,2.9,14.2,1.3342,14.25,4
UTC,0.5,0.0986,16.4,9.0,7.4,13.5,3.3882,14.3,4
UTC,0.67,0.0447,15.7,11.9,3.8,13.3667,2.0429,12.5,3
UTC,0.33,0.1202,15.8,11.0,4.8,13.6333,2.4338,14.1,3
UTC,0.5,0.0147,17.3,9.5,7.8,15.05,3.7332,16.7,4
UTC,0.67,0.3105,15.1,7.5,7.6,10.7667,3.9107,9.7,3
UTC,0.33,0.0787,13.6,8.7,4.9,11.8,2.6963,13.1,3
UTC,0.33,0.0816,13.6,7.5,6.1,11.4333,3.4122,13.2,3
UTC,0.75,0.0628,16.8,13.3,3.5,14.875,1.4454,14.7,4
UTC,1.0,0.0001,9.0,9.0,0.0,9.0,,9.0,1
UTC,0.0,0.0071,15.7,13.5,2.2,14.64,1.0286,14.7,5
UTC,0.33,0.0438,16.8,13.6,3.2,15.3667,1.6258,15.7,3
UTC,0.4,0.1453,17.5,11.5,6.0,14.64,2.3017,14.7,5
UTC,0.6,0.1138,15.5,7.5,8.0,11.16,3.826,9.1,5
UTC,0.6,0.25,13.8,7.5,6.3,10.74,2.9813,12.0,5
UTC,0.0,0.006,18.0,16.7,1.3,17.3,0.6481,17.25,4
UTC,1.0,0.1548,10.0,7.3,2.7,8.64,1.0922,8.6,5
UTC,0.25,0.2778,16.5,8.5,8.0,13.0,3.4157,13.5,4
UTC,0.0,0.0099,18.0,16.0,2.0,17.2,1.0583,17.6,3
UTC,0.6,0.0833,19.3,14.8,4.5,16.64,1.8716,16.0,5
UTC,0.2,0.0037,18.8,16.5,2.3,17.94,0.9236,17.9,5
UTC,0.8,0.0791,16.1,10.0,6.1,12.56,3.0591,10.5,5
UTC,0.5,0.0126,15.4,14.0,1.4,14.65,0.6608,14.6,4
UTC,0.25,0.0546,17.0,13.9,3.1,15.225,1.4127,15.0,4
UTC,0.0,0.0578,20.0,15.0,5.0,17.88,1.9357,18.5,5
UTC,0.2,0.1407,18.0,12.1,5.9,15.02,2.2599,14.5,5
UTC,0.8,0.3299,14.3,7.1,7.2,10.38,3.1324,8.9,5
UTC,0.67,0.1447,14.4,7.6,6.8,10.1333,3.7166,8.4,3
UTC,0.4,0.1079,16.5,7.6,8.9,13.0,3.6339,13.4,5
UTC,0.33,0.2004,16.5,10.0,6.5,13.5,3.2787,14.0,3
UTC,0.25,0.2416,15.7,8.8,6.9,12.9,2.9223,13.55,4
UTC,0.25,0.0846,18.6,8.8,9.8,15.6,4.5811,17.5,4
UTC,0.67,0.0712,15.7,10.0,5.7,13.6,3.1321,15.1,3
UTC,0.6,0.1398,16.2,8.7,7.5,12.7,3.1567,12.3,5
UTC,0.6,0.1706,15.9,7.0,8.9,13.3,3.5833,14.4,5
UTC,0.33,0.0046,14.6,12.9,1.7,14.0,0.9539,14.5,3
UTC,0.4,0.0563,16.4,12.8,3.6,14.92,1.3809,15.5,5
UTC,0.75,0.1115,15.2,7.8,7.4,9.95,3.5114,8.4,4
UTC,0.25,0.121,16.5,11.5,5.0,14.225,2.1061,14.45,4
UTC,0.67,0.1943,16.1,9.1,7.0,13.2,3.651,14.4,3
UTC,0.6,0.048,17.0,13.3,3.7,15.14,1.5356,14.8,5
UTC,0.5,0.0237,15.3,13.5,1.8,14.275,0.8732,14.15,4
UTC,0.0,0.0118,18.1,15.2,2.9,16.2667,1.5948,15.5,3
UTC,0.5,0.1631,16.7,10.1,6.6,14.125,2.8359,14.85,4
Brevis,0.5,0.045,17.4,13.9,3.5,15.175,1.5327,14.7,4
Brevis,0.0,0.01,17.7,16.1,1.6,17.0,0.6683,17.1,4
